method,mean(a),var(a),mean(b),1-epsilon (needs to be around 0.95),tau,M (components to be updated),% of components to be updated
TRUE,65,0,0.2,0.956719175,,8750,87.5
BHM,64.3,0.37,0.201,0.952829936,64.9,8380.3,83.803
MLE,64.2,,0.201,0.9518257,,8850,88.5
TRUE,65,1.5,0.2,0.951207226,65.7,7161.86,71.6186
BHM,63.9,0.34,0.201,0.957883965,64.6,8850.25,88.5025
MLE,63.8,,0.201,0.951794972,,8950,89.5
TRUE,65,3,0.2,0.95115366,65.9,6983.34,69.8334
BHM,62.7,0.31,0.203,0.953236492,63.4,8956.66,89.5666
MLE,62.7,,0.203,0.95,,,0
TRUE,65,4.5,0.2,0.951733103,66,6813.24,68.1324
BHM,61.2,0.25,0.206,0.953596083,62,9452.01,94.5201
MLE,61.2,,0.206,0.95002259,,9300,93
TRUE,70,0,0.2,0.950051526,,5800,58
BHM,69.1,0.68,0.201,0.95284975,69.1,5000,50
MLE,69.1,,0.201,0.950714311,,6400,64
TRUE,70,2,0.2,0.951817699,69.6,3886.49,38.8649
BHM,68.9,0.52,0.201,0.955111222,69,5551.47,55.5147
MLE,68.9,,0.201,0.950104172,,6500,65
TRUE,70,4,0.2,0.951905641,69.3,3445.78,34.4578
BHM,68.2,0.45,0.199,0.956449532,68.5,6726.4,67.264
MLE,68.2,,0.199,0.951076829,,7600,76
TRUE,70,6,0.2,0.951241948,69,3415.46,34.1546
BHM,66.6,0.44,0.197,0.953013672,67.1,7745.09,77.4509
MLE,66.6,,0.197,0.951971072,,8700,87
TRUE,75,0,0.2,0.95,,0,0
BHM,66.8,0.86,0.239,0.95,,0,0
MLE,66.7,,0.239,0.95,,0,0
TRUE,75,2.5,0.2,0.95,,0,0
BHM,67.3,0.72,0.232,0.95,,0,0
MLE,67.3,,0.232,0.95,,0,0
TRUE,75,5,0.2,0.95,,0,0
BHM,67.7,0.59,0.22,0.950460988,66.4,452.795,4.52795
MLE,67.6,,0.22,0.950352184,,1100,11
TRUE,75,7.5,0.2,0.95,,0,0
BHM,69.1,0.56,0.199,0.952101858,69.2,5531.53,55.3153
MLE,69.1,,0.199,0.950884665,,7000,70
