time,Wind,Precip,Temp
0,6.14,0.0,61.43
1,4.6,0.0,53.07
2,3.37,0.0,59.19
3,7.51,0.0,58.69
4,7.9,0.007,58.01
5,3.18,0.0,52.25
6,5.21,0.0,57.58
7,7.63,0.0,59.19
8,8.26,0.0,82.31
9,11.48,0.0,50.31
10,2.89,0.0,45.26
11,6.85,0.0,57.18
12,11.52,0.0,64.86
13,10.34,0.0,58.03
14,6.39,0.0,57.57
15,2.09,0.0,52.29
16,5.99,0.0,56.63
17,3.71,0.0,64.42
18,3.81,0.0,61.5
19,4.36,0.0,55.14
20,6.21,0.0,72.65
21,7.91,0.0,58.41
22,7.54,0.0,44.42
23,12.43,0.0,52.56
24,3.53,0.0,43.21
25,6.13,0.0,52.34
26,5.17,0.0,65.19
27,17.14,0.0,42.65
28,4.43,0.0,55.15
29,4.39,0.0,51.86
30,9.99,0.0,43.23
31,23.05,0.0,64.43
32,1.87,0.001,49.02
33,6.68,0.0,46.04
34,7.33,0.0,58.99
35,1.5,0.0,64.41
36,39.61,0.0,55.58
37,3.63,0.0,57.71
38,5.39,0.0085,55.24
39,8.36,0.0,55.58
40,4.99,0.0,56.69
41,6.94,0.0,61.11
42,6.55,0.0,59.81
43,11.37,0.0,75.9
44,6.22,0.0,57.36
45,5.05,0.0,46.31
46,9.6,0.0,66.92
47,2.78,0.0,65.01
48,12.64,0.0,55.67
49,3.84,0.0,49.15
50,7.97,0.0022,67.61
51,11.39,0.0,57.79
52,9.68,0.0,58.13
53,5.1,0.0,60.91
54,2.9,0.0,55.23
55,1.54,0.0,60.52
56,2.04,0.0,55.01
57,7.4,0.0,64.33
58,3.69,0.0,76.06
59,21.12,0.0,62.35
60,2.88,0.0,51.3
61,8.12,0.0058,69.05
62,7.9,0.0,69.13
63,4.28,0.0,50.06
64,2.66,0.0,67.35
65,7.57,0.0,47.06
66,6.76,0.0,68.02
67,17.49,0.0,69.6
68,8.27,0.0,62.56
69,5.08,0.0,60.48
70,1.88,0.0,45.63
71,5.61,0.0,59.26
