,scenario,model,estimate,threshold.Wind,,slope.Wind,,,,,var_slope.Wind,var_threshold.Wind,,var_slope.DayPrecip,var_threshold.DayPrecip,var_slope.Precip,var_threshold.Precip,bic,log_likelihood,aic,
0,scenario1,TRUE,TRUE,65.00,0.00,0.2,2.78E-17,,,,7.70E-34,0,0.00,,,,,,,,
1,scenario1,Wind+DayPrecip,bhm,63.32374353,0.562243734,0.199903289,0.00144117,,,,2.08E-06,0.316118016,0.56,0.007664799,0.002113679,,,,,,
2,scenario1,Wind+DayPrecip,mle,63.38190667,0.562243734,0.199903289,0.00144117,,,,2.08E-06,0.316118016,0.56,0.007664799,0.002113679,,,60102,-30028.44022,-60064.88044,21
3,scenario1,Wind+Precip,bhm,64.51963756,0.295548983,0.199718989,0.001076092,,,,1.16E-06,0.087349201,0.30,,,0.587080904,0,,,,
4,scenario1,Wind+Precip,mle,64.48906353,0.295548983,0.199718989,0.001076092,,,,1.16E-06,0.087349201,0.30,,,0.587080904,0,60103,-30028.6721,-60065.3442,21
5,scenario1,Wind,bhm,64.28,0.37,0.200505148,1.38E-03,,,,1.90E-06,0.136200843,0.37,,,,,,,,
6,scenario1,Wind,mle,64.24,0.37,0.200505148,1.38E-03,,,,1.90E-06,0.136200843,0.37,,,,,60082,-30029.55279,-60063.10558,
7,scenario2,TRUE,TRUE,64.97,1.48,0.2,2.78E-17,,,,7.70E-34,2.19457203,1.48,,,,,,,,
8,scenario2,Wind+DayPrecip,bhm,62.35367723,0.525011503,0.200892752,0.001259066,,,,1.59E-06,0.275637078,0.53,0.007599248,0.000839902,,,,,,
9,scenario2,Wind+DayPrecip,mle,62.2993657,0.525011503,0.200892752,0.001259066,,,,1.59E-06,0.275637078,0.53,0.007599248,0.000839902,,,61777,-30865.97787,-61739.95574,20
10,scenario2,Wind+Precip,bhm,63.98856732,0.27036272,0.200836197,0.00101038,,,,1.02E-06,0.073096,0.27,,,0.266821154,0,,,,
11,scenario2,Wind+Precip,mle,63.96059876,0.27036272,0.200836197,0.00101038,,,,1.02E-06,0.073096,0.27,,,0.266821154,0,61780,-30867.01444,-61742.02888,22
