,scenario,method,mean,var,KLD,kld_g,delta=0.1,delta=0.2,delta=0.01
0,scenario1,true,65.0,0.0,0.0,0.0,2.75,1.05,0.13
1,scenario1,bhm,64.28,0.369,3.734546466619364e-06,-0.0046123314232819025,3.29,1.26,0.16
2,scenario1,mle,64.24,0.369,4.079967971557137e-06,-0.004850194094102734,3.31,1.26,0.16
3,scenario2,true,64.97,1.481,0.0,0.0,3.03,1.15,0.15
4,scenario2,bhm,63.88,0.342,3.9587655450462395e-06,-0.006925023368032713,3.56,1.36,0.17
5,scenario2,mle,63.85,0.342,4.310792319072746e-06,-0.00713963978413088,3.58,1.37,0.17
6,scenario3,true,64.94,2.963,0.0,0.0,4.0,1.49,0.18
7,scenario3,bhm,62.75,0.306,5.25959632619367e-06,-0.013471640265187495,4.43,1.7,0.22
8,scenario3,mle,62.71,0.306,5.64395943033148e-06,-0.013648096761684414,4.45,1.7,0.21
9,scenario4,true,64.92,4.444,0.0,0.0,6.5,2.34,0.26
10,scenario4,bhm,61.22,0.252,1.2327988932102899e-05,-0.021662061672892027,6.12,2.34,0.3
11,scenario4,mle,61.19,0.252,1.27837034523193e-05,-0.02179228291073828,6.14,2.35,0.29
12,scenario5,true,70.0,0.0,0.0,0.0,0.71,0.29,0.04
13,scenario5,bhm,69.14,0.684,9.111426936105497e-07,-0.0054563631361065216,0.85,0.35,0.05
14,scenario5,mle,69.07,0.684,1.0231036901150858e-06,-0.005895025382432664,0.85,0.34,0.05
15,scenario6,true,69.96,1.975,0.0,0.0,0.83,0.34,0.05
16,scenario6,bhm,68.92,0.52,1.4749854286317764e-06,-0.006658993377782451,0.94,0.38,0.06
17,scenario6,mle,68.87,0.52,1.639247629415351e-06,-0.006987842581892816,0.94,0.38,0.05
18,scenario7,true,69.93,3.95,0.0,0.0,1.31,0.51,0.07
19,scenario7,bhm,68.2,0.451,4.605241520206775e-06,-0.010872557425679451,1.24,0.49,0.07
20,scenario7,mle,68.24,0.451,4.073579329509921e-06,-0.010599321858215528,1.21,0.48,0.06
21,scenario8,true,69.89,5.926,0.0,0.0,2.99,1.09,0.13
22,scenario8,bhm,66.62,0.44,2.157165722310612e-05,-0.019707150600234837,2.07,0.79,0.1
23,scenario8,mle,66.57,0.44,2.2249186292815806e-05,-0.019951775622955203,2.07,0.79,0.1
24,scenario9,true,75.0,0.0,0.0,0.0,0.2,0.08,0.01
25,scenario9,bhm,66.8,0.859,8.821532329088335e-06,-0.037518181896530285,0.39,0.19,0.04
26,scenario9,mle,66.71,0.859,8.734056882308728e-06,-0.037790341928171746,0.39,0.19,0.04
27,scenario10,true,74.95,2.469,0.0,0.0,0.25,0.11,0.02
28,scenario10,bhm,67.33,0.724,6.0997497286998756e-06,-0.03656597244320058,0.42,0.2,0.04
29,scenario10,mle,67.26,0.724,5.956913270088346e-06,-0.03681330733388382,0.41,0.19,0.04
30,scenario11,true,74.91,4.938,0.0,0.0,0.48,0.19,0.03
31,scenario11,bhm,67.66,0.593,1.2297750139853377e-06,-0.036978118809622575,0.58,0.26,0.05
32,scenario11,mle,67.6,0.593,1.1471530361753124e-06,-0.037201751767421166,0.58,0.26,0.04
33,scenario12,true,74.86,7.407,0.0,0.0,1.66,0.61,0.07
34,scenario12,bhm,69.15,0.564,1.5453286250556166e-05,-0.03214993879320213,0.93,0.37,0.05
35,scenario12,mle,69.09,0.564,1.588318584638497e-05,-0.032415902114949,0.93,0.37,0.05
