apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,pressure,summary,temperature,time,visibility,windBearing,windSpeed
34.34,0.0,25.13,0.56,clear-night,0.0,0.0,1019.2,Clear,39.29,2015-01-01 00:00:00-08:00,10.0,103.0,6.9
33.39,0.0,24.29,0.54,clear-night,0.0,0.0,1018.97,Clear,39.57,2015-01-01 01:00:00-08:00,10.0,106.0,9.35
33.36,0.0,24.34,0.56,clear-night,0.0,0.0,1019.1,Clear,38.77,2015-01-01 02:00:00-08:00,10.0,97.0,7.53
30.61,0.0,24.86,0.63,clear-night,0.0,0.0,1019.22,Clear,36.27,2015-01-01 03:00:00-08:00,10.0,113.0,7.05
29.95,0.0,24.19,0.6,clear-night,0.0,0.0,1019.08,Clear,36.77,2015-01-01 04:00:00-08:00,10.0,109.0,9.34
29.09,0.0,24.07,0.62,clear-night,0.0,0.0,1018.99,Clear,35.81,2015-01-01 05:00:00-08:00,10.0,100.0,8.72
27.08,0.0,24.4,0.65,clear-night,0.0,0.0,1019.34,Clear,35.08,2015-01-01 06:00:00-08:00,10.0,98.0,11.02
26.64,0.0,24.13,0.65,clear-night,0.0,0.0,1019.87,Clear,34.79,2015-01-01 07:00:00-08:00,10.0,108.0,11.17
27.92,0.0,24.85,0.65,clear-day,0.0,0.0,1020.34,Clear,35.39,2015-01-01 08:00:00-08:00,9.76,91.0,10.02
32.23,0.0,25.84,0.58,clear-day,0.0,0.0,1021.32,Clear,39.21,2015-01-01 09:00:00-08:00,10.0,120.0,11.03
36.33,0.0,26.91,0.52,clear-day,0.0,0.0,1021.85,Clear,43.45,2015-01-01 10:00:00-08:00,10.0,110.0,14.75
43.98,0.0,26.05,0.42,clear-day,0.0,0.0,1021.44,Clear,47.88,2015-01-01 11:00:00-08:00,10.0,95.0,8.47
51.57,0.0,26.08,0.37,clear-day,0.0,0.0,1020.44,Clear,51.57,2015-01-01 12:00:00-08:00,10.0,102.0,7.1
53.59,0.0,23.67,0.31,clear-day,0.0,0.0,1020.1,Clear,53.59,2015-01-01 13:00:00-08:00,10.0,106.0,6.56
55.54,0.0,23.73,0.29,clear-day,0.0,0.0,1019.5,Clear,55.54,2015-01-01 14:00:00-08:00,10.0,98.0,3.12
56.02,0.0,22.23,0.27,clear-day,0.0,0.0,1019.67,Clear,56.02,2015-01-01 15:00:00-08:00,10.0,300.0,2.88
56.4,0.0,24.49,0.29,clear-day,0.0,0.0,1020.31,Clear,56.4,2015-01-01 16:00:00-08:00,10.0,295.0,4.35
53.54,0.0,24.53,0.32,clear-night,0.0,0.0,1020.77,Clear,53.54,2015-01-01 17:00:00-08:00,10.0,321.0,2.35
46.82,0.0,28.78,0.49,clear-night,0.0,0.0,1021.12,Clear,46.82,2015-01-01 18:00:00-08:00,10.0,52.0,0.98
44.37,0.0,30.96,0.59,clear-night,0.0,0.0,1021.3,Clear,44.37,2015-01-01 19:00:00-08:00,10.0,84.0,2.03
38.86,0.0,29.41,0.63,clear-night,0.0,0.0,1021.6,Clear,41.18,2015-01-01 20:00:00-08:00,10.0,87.0,3.8
38.24,0.0,29.84,0.65,clear-night,0.0,0.0,1021.72,Clear,40.55,2015-01-01 21:00:00-08:00,10.0,110.0,3.7
39.87,0.02,29.42,0.66,clear-night,0.0,0.0,1021.82,Clear,39.87,2015-01-01 22:00:00-08:00,10.0,106.0,2.87
34.68,0.04,28.76,0.67,clear-night,0.0,0.0,1021.99,Clear,38.81,2015-01-01 23:00:00-08:00,10.0,130.0,5.51
34.24,0.06,28.99,0.71,clear-night,0.0,0.0,1022.4,Clear,37.42,2015-01-02 00:00:00-08:00,10.0,101.0,4.1
32.94,0.0,29.13,0.72,clear-night,0.0,0.0,1022.4,Clear,37.22,2015-01-02 01:00:00-08:00,10.0,94.0,5.33
32.03,0.0,28.54,0.71,clear-night,0.0,0.0,1022.31,Clear,37.18,2015-01-02 02:00:00-08:00,10.0,106.0,6.55
31.35,0.0,28.44,0.72,clear-night,0.0,0.0,1022.26,Clear,36.75,2015-01-02 03:00:00-08:00,10.0,116.0,6.79
31.45,0.0,27.98,0.72,clear-night,0.0,0.0,1022.07,Clear,36.21,2015-01-02 04:00:00-08:00,10.0,95.0,5.73
30.61,0.01,28.34,0.74,clear-night,0.0,0.0,1021.93,Clear,35.89,2015-01-02 05:00:00-08:00,10.0,117.0,6.36
29.39,0.0,27.73,0.74,clear-night,0.0,0.0,1021.95,Clear,35.28,2015-01-02 06:00:00-08:00,10.0,106.0,7.09
29.79,0.0,28.39,0.75,clear-night,0.0,0.0,1022.38,Clear,35.67,2015-01-02 07:00:00-08:00,10.0,108.0,7.21
31.02,0.0,28.89,0.73,clear-day,0.0,0.0,1022.95,Clear,36.79,2015-01-02 08:00:00-08:00,10.0,96.0,7.41
34.38,0.0,31.5,0.71,clear-day,0.0,0.0,1023.33,Clear,40.22,2015-01-02 09:00:00-08:00,10.0,107.0,8.96
40.87,0.0,31.72,0.6,clear-day,0.0,0.0,1023.84,Clear,44.95,2015-01-02 10:00:00-08:00,10.0,100.0,7.45
47.56,0.0,32.92,0.53,clear-day,0.0,0.0,1023.1,Clear,49.41,2015-01-02 11:00:00-08:00,10.0,100.0,4.94
51.66,0.01,32.43,0.48,clear-day,0.0,0.0,1021.74,Clear,51.66,2015-01-02 12:00:00-08:00,10.0,65.0,3.17
54.31,0.0,31.79,0.42,clear-day,0.0,0.0,1020.67,Clear,54.31,2015-01-02 13:00:00-08:00,10.0,345.0,4.89
55.91,0.0,31.68,0.4,clear-day,0.0,0.0,1019.95,Clear,55.91,2015-01-02 14:00:00-08:00,10.0,308.0,4.66
57.03,0.0,27.02,0.31,clear-day,0.0,0.0,1019.94,Clear,57.03,2015-01-02 15:00:00-08:00,10.0,306.0,6.93
55.93,0.0,30.52,0.38,clear-day,0.0,0.0,1020.14,Clear,55.93,2015-01-02 16:00:00-08:00,10.0,307.0,6.53
52.89,0.0,34.29,0.49,clear-night,0.0,0.0,1020.17,Clear,52.89,2015-01-02 17:00:00-08:00,10.0,284.0,5.38
49.23,0.02,37.36,0.62,clear-night,0.0,0.0,1020.55,Clear,49.81,2015-01-02 18:00:00-08:00,10.0,274.0,3.27
45.76,0.0,36.7,0.67,clear-night,0.0,0.0,1021.19,Clear,47.06,2015-01-02 19:00:00-08:00,10.0,254.0,3.66
45.19,0.0,36.0,0.7,clear-night,0.0,0.0,1021.66,Clear,45.19,2015-01-02 20:00:00-08:00,10.0,253.0,2.72
44.12,0.0,34.49,0.69,clear-night,0.0,0.0,1021.82,Clear,44.12,2015-01-02 21:00:00-08:00,10.0,68.0,1.71
41.91,0.01,34.24,0.74,clear-night,0.0,0.0,1022.51,Clear,41.91,2015-01-02 22:00:00-08:00,10.0,47.0,1.44
39.95,0.0,33.75,0.78,clear-night,0.0,0.0,1022.69,Clear,39.95,2015-01-02 23:00:00-08:00,10.0,58.0,2.17
36.0,0.01,33.26,0.79,clear-night,0.0,0.0,1022.79,Clear,39.14,2015-01-03 00:00:00-08:00,10.0,97.0,4.36
35.66,0.0,32.97,0.8,clear-night,0.0,0.0,1022.56,Clear,38.73,2015-01-03 01:00:00-08:00,10.0,103.0,4.21
35.93,0.01,32.57,0.77,clear-night,0.0,0.0,1022.96,Clear,39.27,2015-01-03 02:00:00-08:00,9.94,110.0,4.62
34.53,0.0,32.12,0.79,clear-night,0.0,0.0,1023.07,Clear,38.18,2015-01-03 03:00:00-08:00,9.75,104.0,4.75
34.25,0.0,32.34,0.8,clear-night,0.0,0.0,1023.36,Clear,38.02,2015-01-03 04:00:00-08:00,9.87,105.0,4.87
33.01,0.0,31.52,0.79,clear-night,0.0,0.0,1023.72,Clear,37.3,2015-01-03 05:00:00-08:00,9.82,102.0,5.37
30.84,0.0,31.29,0.8,clear-night,0.0,0.0,1023.48,Clear,37.02,2015-01-03 06:00:00-08:00,9.92,91.0,8.22
31.98,0.0,31.0,0.77,clear-night,0.0,0.0,1024.02,Clear,37.54,2015-01-03 07:00:00-08:00,9.43,102.0,7.33
31.02,0.0,31.63,0.75,clear-day,0.0,0.0,1024.03,Clear,38.86,2015-01-03 08:00:00-08:00,9.74,101.0,13.05
36.52,0.0,32.65,0.67,clear-day,0.0,0.0,1024.72,Clear,42.8,2015-01-03 09:00:00-08:00,9.87,100.0,11.55
42.57,0.0,33.51,0.61,clear-day,0.0,0.0,1025.36,Clear,46.22,2015-01-03 10:00:00-08:00,10.0,107.0,7.14
50.12,0.0,34.82,0.55,clear-day,0.0,0.0,1025.2,Clear,50.12,2015-01-03 11:00:00-08:00,10.0,92.0,7.48
53.76,0.0,34.84,0.49,clear-day,0.0,0.0,1024.54,Clear,53.76,2015-01-03 12:00:00-08:00,10.0,100.0,7.53
56.4,0.0,35.61,0.46,clear-day,0.0,0.0,1023.75,Clear,56.4,2015-01-03 13:00:00-08:00,10.0,110.0,2.86
58.37,0.0,35.74,0.43,clear-day,0.0,0.0,1024.08,Clear,58.37,2015-01-03 14:00:00-08:00,10.0,296.0,4.45
58.9,0.0,37.25,0.44,clear-day,0.0,0.0,1024.6,Clear,58.9,2015-01-03 15:00:00-08:00,10.0,298.0,4.45
57.87,0.0,38.08,0.48,clear-day,0.0,0.0,1024.86,Clear,57.87,2015-01-03 16:00:00-08:00,10.0,310.0,5.53
54.47,0.0,41.17,0.61,clear-night,0.0,0.0,1025.57,Clear,54.47,2015-01-03 17:00:00-08:00,10.0,294.0,6.43
51.3,0.0,39.55,0.64,clear-night,0.0,0.0,1025.84,Clear,51.3,2015-01-03 18:00:00-08:00,10.0,252.0,0.93
47.96,0.01,39.16,0.71,clear-night,0.0,0.0,1025.88,Clear,47.96,2015-01-03 19:00:00-08:00,10.0,13.0,1.75
45.46,0.01,38.96,0.78,clear-night,0.0,0.0,1026.37,Clear,45.46,2015-01-03 20:00:00-08:00,10.0,85.0,1.39
41.91,0.0,37.98,0.82,clear-night,0.0,0.0,1026.51,Clear,43.14,2015-01-03 21:00:00-08:00,10.0,53.0,3.01
42.23,0.0,37.45,0.83,clear-night,0.0,0.0,1026.69,Clear,42.23,2015-01-03 22:00:00-08:00,10.0,97.0,2.11
41.85,0.0,37.49,0.84,clear-night,0.0,0.0,1026.96,Clear,41.85,2015-01-03 23:00:00-08:00,10.0,34.0,2.19
38.89,0.0,35.61,0.82,clear-night,0.0,0.0,1027.29,Clear,40.6,2015-01-04 00:00:00-08:00,10.0,101.0,3.14
37.42,0.0,35.41,0.83,clear-night,0.0,0.0,1027.29,Clear,40.3,2015-01-04 01:00:00-08:00,9.82,85.0,4.28
36.01,0.0,34.52,0.84,clear-night,0.0,0.0,1027.24,Clear,38.81,2015-01-04 02:00:00-08:00,9.82,107.0,3.93
34.43,0.0,34.4,0.84,clear-night,0.0,0.0,1027.63,Clear,38.69,2015-01-04 03:00:00-08:00,9.73,107.0,5.67
34.64,0.0,33.61,0.82,clear-night,0.0,0.0,1027.87,Clear,38.5,2015-01-04 04:00:00-08:00,9.76,106.0,5.09
35.3,0.0,34.1,0.82,clear-night,0.0,0.0,1027.91,Clear,39.12,2015-01-04 05:00:00-08:00,10.0,84.0,5.19
35.86,0.0,34.8,0.82,clear-night,0.0,0.0,1028.21,Clear,39.69,2015-01-04 06:00:00-08:00,10.0,101.0,5.34
36.7,0.0,34.1,0.8,clear-night,0.0,0.0,1029.22,Clear,39.68,2015-01-04 07:00:00-08:00,9.92,74.0,4.28
37.35,0.0,34.64,0.78,clear-day,0.0,0.0,1029.9,Clear,40.84,2015-01-04 08:00:00-08:00,9.92,101.0,5.15
39.46,0.0,36.39,0.74,clear-day,0.0,0.0,1030.39,Clear,43.96,2015-01-04 09:00:00-08:00,10.0,106.0,7.89
42.89,0.0,37.57,0.69,clear-day,0.0,0.0,1029.16,Clear,47.29,2015-01-04 10:00:00-08:00,10.0,111.0,9.42
51.73,0.0,37.27,0.58,clear-day,0.0,0.0,1029.3,Clear,51.73,2015-01-04 11:00:00-08:00,10.0,78.0,5.8
55.74,0.0,37.87,0.51,clear-day,0.0,0.0,1028.76,Clear,55.74,2015-01-04 12:00:00-08:00,10.0,93.0,3.6
58.61,0.0,38.11,0.46,clear-day,0.0,0.0,1028.13,Clear,58.61,2015-01-04 13:00:00-08:00,10.0,125.0,3.23
60.23,0.0,37.71,0.43,clear-day,0.0,0.0,1027.86,Clear,60.23,2015-01-04 14:00:00-08:00,10.0,50.0,2.43
61.23,0.0,39.06,0.44,clear-day,0.0,0.0,1027.78,Clear,61.23,2015-01-04 15:00:00-08:00,9.92,305.0,5.79
59.6,0.0,41.01,0.5,clear-day,0.0,0.0,1028.31,Clear,59.6,2015-01-04 16:00:00-08:00,10.0,286.0,7.21
56.51,0.0,42.74,0.6,clear-night,0.0,0.0,1028.23,Clear,56.51,2015-01-04 17:00:00-08:00,10.0,275.0,5.53
54.17,0.01,43.94,0.68,clear-night,0.0,0.0,1028.43,Clear,54.17,2015-01-04 18:00:00-08:00,10.0,333.0,7.06
48.31,0.0,41.96,0.76,clear-night,0.0,0.0,1028.55,Clear,49.22,2015-01-04 19:00:00-08:00,8.7,58.0,3.55
47.41,0.0,40.91,0.78,clear-night,0.0,0.0,1028.45,Clear,47.41,2015-01-04 20:00:00-08:00,9.24,61.0,2.82
45.86,0.01,40.2,0.8,clear-night,0.0,0.0,1028.23,Clear,45.86,2015-01-04 21:00:00-08:00,8.38,109.0,2.68
44.77,0.0,39.65,0.76,clear-night,0.0,0.0,1028.44,Clear,46.76,2015-01-04 22:00:00-08:00,9.77,81.0,4.48
43.89,0.0,39.57,0.72,clear-night,0.0,0.0,1028.0,Clear,48.09,2015-01-04 23:00:00-08:00,9.82,87.0,9.37
42.3,0.0,37.69,0.71,clear-night,0.0,0.0,1028.26,Clear,46.52,2015-01-05 00:00:00-08:00,9.92,95.0,8.5
42.28,0.0,37.37,0.7,clear-night,0.0,0.0,1028.29,Clear,46.52,2015-01-05 01:00:00-08:00,10.0,78.0,8.57
41.96,0.01,36.68,0.68,clear-night,0.0,0.0,1028.26,Clear,46.54,2015-01-05 02:00:00-08:00,9.82,99.0,9.44
42.07,0.0,35.9,0.65,clear-night,0.0,0.0,1028.03,Clear,47.11,2015-01-05 03:00:00-08:00,9.82,100.0,11.13
41.63,0.0,36.11,0.69,clear-night,0.0,0.0,1027.32,Clear,45.66,2015-01-05 04:00:00-08:00,10.0,86.0,7.7
40.17,0.0,35.25,0.68,clear-night,0.0,0.0,1027.11,Clear,45.25,2015-01-05 05:00:00-08:00,10.0,82.0,9.96
40.93,0.0,35.67,0.7,clear-night,0.0,0.0,1027.35,Clear,44.99,2015-01-05 06:00:00-08:00,10.0,82.0,7.44
40.75,0.0,35.09,0.67,clear-night,0.0,0.0,1027.39,Clear,45.27,2015-01-05 07:00:00-08:00,10.0,93.0,8.59
40.09,0.0,35.27,0.68,clear-day,0.0,0.0,1027.89,Clear,45.2,2015-01-05 08:00:00-08:00,9.92,89.0,10.02
45.5,0.0,35.6,0.58,clear-day,0.0,0.0,1028.02,Clear,49.65,2015-01-05 09:00:00-08:00,9.92,98.0,10.32
54.85,0.0,35.48,0.48,clear-day,0.0,0.0,1027.6,Clear,54.85,2015-01-05 10:00:00-08:00,9.92,97.0,12.89
58.8,0.0,35.48,0.42,clear-day,0.0,0.0,1026.63,Clear,58.8,2015-01-05 11:00:00-08:00,10.0,86.0,10.54
62.74,0.0,36.21,0.37,clear-day,0.0,0.0,1025.47,Clear,62.74,2015-01-05 12:00:00-08:00,10.0,83.0,10.02
66.42,0.0,36.03,0.32,clear-day,0.0,0.0,1024.42,Clear,66.42,2015-01-05 13:00:00-08:00,10.0,79.0,6.36
68.85,0.0,36.46,0.3,clear-day,0.0,0.0,1023.9,Clear,68.85,2015-01-05 14:00:00-08:00,10.0,82.0,5.21
68.99,0.0,38.3,0.33,clear-day,0.0,0.0,1023.46,Clear,68.99,2015-01-05 15:00:00-08:00,10.0,38.0,4.34
67.99,0.0,39.08,0.35,clear-day,0.0,0.0,1023.62,Clear,67.99,2015-01-05 16:00:00-08:00,10.0,13.0,4.51
63.09,0.0,43.61,0.49,clear-day,0.0,0.0,1023.41,Clear,63.09,2015-01-05 17:00:00-08:00,10.0,61.0,5.35
59.23,0.0,41.82,0.52,clear-night,0.0,0.0,1023.26,Clear,59.23,2015-01-05 18:00:00-08:00,9.94,130.0,0.72
56.32,0.01,41.37,0.57,clear-night,0.0,0.0,1023.23,Clear,56.32,2015-01-05 19:00:00-08:00,9.94,61.0,3.03
52.92,0.0,40.77,0.63,clear-night,0.0,0.0,1023.33,Clear,52.92,2015-01-05 20:00:00-08:00,9.94,78.0,2.55
